customer_city,customer_state,revenue,customers,orders
sao paulo,SP,2216168.84,14984,15540
rio de janeiro,RJ,1167989.35,6620,6882
belo horizonte,MG,423987.81,2672,2773
brasilia,DF,356780.03,2069,2131
curitiba,PR,248040.8,1465,1521
porto alegre,RS,226256.48,1326,1379
salvador,BA,219039.69,1209,1245
campinas,SP,218124.14,1398,1444
guarulhos,SP,165414.43,1153,1189
niteroi,RJ,140681.08,811,849
goiania,GO,126529.3,671,692
sao bernardo do campo,SP,120848.72,908,938
fortaleza,CE,119863.47,643,654
santos,SP,112390.02,692,713
recife,PE,111536.24,590,613
florianopolis,SC,107109.98,546,570
santo andre,SP,105858.4,768,796
belem,PA,96074.27,432,443
osasco,SP,95065.96,717,746
jundiai,SP,93183.65,547,565
