customer_state,revenue,customers,orders
SP,6028174.24,40301,41745
RJ,2153774.0,12384,12852
MG,1879983.51,11259,11635
RS,895835.07,5277,5466
PR,814542.64,4882,5045
SC,625026.48,3534,3637
BA,618916.38,3277,3380
DF,357704.33,2075,2140
GO,353545.47,1952,2020
ES,327115.59,1964,2033
PE,326135.89,1609,1652
CE,280294.84,1313,1336
PA,218931.1,949,975
MT,187383.9,876,907
MA,152861.16,726,747
PB,141660.45,519,536
MS,139173.25,694,715
PI,108605.19,482,495
RN,102836.61,474,485
AL,97264.75,401,413
SE,75246.25,342,350
TO,61485.33,273,280
RO,60866.2,240,253
AM,28050.07,143,148
AC,19680.62,77,81
AP,16262.8,67,68
RR,10064.62,45,46
