seller_id,seller_city,seller_state,revenue,orders,items_sold,avg_review_score
4869f7a5dfa277a7dca6462dcf3b52b2,guariba,SP,229472.63,1132,1156,4.12
53243585a1d6dc2643021fd1853d8905,lauro de freitas,BA,222776.05,358,410,4.08
4a3ca9315b744ce9f8e9374361493884,ibitinga,SP,202999.12,1806,2009,3.8
fa1c13f2614d7b5c4749cbc52fecda94,sumare,SP,194042.03,585,586,4.34
7c67e1448b00f6e969d365cea6b010ab,itaquaquecetuba,SP,189417.67,982,1375,3.35
7e93a43ef30c4f03f38b393420bc753a,barueri,SP,176431.87,336,340,4.21
da8622b14eb17ae2831f4ac5b9dab84a,piracicaba,SP,162723.37,1314,1574,4.07
7a67c85e85bb2ce8582c35f2203ad736,sao paulo,SP,142325.49,1160,1175,4.23
1025f0e2d44d7041d6cf58b6550e0bfa,sao paulo,SP,140513.14,915,1443,3.85
955fee9216a65b617aa5c0531780ce60,sao paulo,SP,135241.7,1287,1501,4.05
46dc3b2cc0980fb8ec44634e21d2718e,rio de janeiro,RJ,128111.19,521,542,4.18
6560211a19b47992c3666cc44a7e94c0,sao paulo,SP,123585.82,1854,2039,3.91
620c87c171fb2a6dd6e8bb4dec959fc6,petropolis,RJ,115283.9,740,804,4.22
7d13fca15225358621be4086e1eb0964,ribeirao preto,SP,113628.97,565,578,4.0
5dceca129747e92ff8ef7a997dc4f8ca,santa barbara d´oeste,SP,112155.53,325,346,3.99
1f50f920176fa81dab994f9023523100,sao jose do rio preto,SP,107431.41,1404,1940,3.98
cc419e0650a3c5ba77189a1882b7556a,santo andre,SP,106555.98,1706,1819,4.07
a1043bafd471dff536d0c462352beb48,ilicinea,MG,101901.16,718,770,4.19
3d871de0142ce09b7081e2b9d1733cb1,campo limpo paulista,SP,94963.2,1080,1148,4.11
edb1ef5e36e0c8cd84eb3c9b003e486d,teresopolis,RJ,79284.55,166,175,4.43
